"mGeneSym"	"BC_E_1"	"BC_E_2"	"BC_EP_1"	"BC_EP_2"	"LP_E_1"	"LP_E_2"	"LP_EP_1"	"LP_EP_2"	"LM_E_1"	"LM_E_2"	"LM_EP_1"	"LM_EP_2"
"Abcb10"	0	0	0	0	1557708.185	1013751.551	4221663.424	5882079.059	1235620.794	802389.8382	2127015.22	3010426.277
"Abcg2"	0	0	2163990.775	1048501.9665	12987492.63	7697483.887	6474732.246	13136087.79	0	5888476.664	0	0
"Abhd4"	4956152.808	5124381.651	13346955.495	10634977.04	0	0	0	0	5872301.474	8928660.839	2478597.457	6995790.373
"Abhd5"	0	0	0	0	1255271.658	4329562.498	5741534.257	2653240.816	14846810.4	39848291.07	8631368.485	6878478.347
"Acox1"	8926818.091	9756252.003	7242813.6915	6847157.919	4069287.242	6442151.649	19309447.05	11300059.55	5050705.486	6733985.157	0	0
"Ada"	12920739.4	9339090.307	3126247.8197	8926815.3065	45120667.47	77396730.67	80759778.55	87393915.86	65529105.97	69778380.1	162933066.7	211765679.6
"Adar"	0	0	56905.6854	174958.355385	0	0	0	0	751698.2747	247877.5652	421014.4069	152420.7703
"Akap2"	37991384.82	43426447.35	27091685.59	41663459.345	8889722.492	14506273.12	4538912.554	7276534.796	0	0	0	0
"Aktip"	1305612.656	0	0	0	1676583.066	19986783.66	14247710.93	14892914.82	17811009.58	17038249.57	12243970.13	16574442.13
"Alcam"	592417.1023	206170.6345	8167494.4635	8232448.2695	47860674.62	59530293.53	59215337.63	57916662.39	108276919	118749502.7	100111691	94773141.31
"Aldoc"	1950100	6163700	1912100	1960300	1338100000	1135100000	407130000	443410000	12538000	25627000	50533000	50943000
"Alpl"	802850000	935910000	283250000	191855000	292100000	519110000	69534000	55456000	4413700	1235200	4618900	11284000
"Amt"	0	0	0	0	30184803.79	21802279.33	70440556.85	73766163.36	17624847.34	24452743.72	55224775.8	41879894.22
"Ank2"	1668428.416	615967.7894	4409039.23	3943949.021	823343.8993	55050.07483	30237.66709	161549.9138	1469986.634	1665492.2	1488255.634	1778050.96
"Ano1"	18425000	19215000	18907500	16571500	224960000	224820000	89818000	91551000	93100000	76189000	136580000	143520000
"Ap1g2"	273067.1728	568408.678	307394.038965	878661.4011	6726905.856	8689882.27	17013703.35	15935902.29	6594114.505	8252709.845	6319801.247	6152641.384
"Arfip2"	0	0	133176.0911	235645.9692	8832050.52	6179762.17	5610809.615	2575068.185	8246242.268	14582856.44	7360628.773	7741096.141
"Arl6ip6"	0	0	1394466.33925	3080413.0695	2702343.816	0	0	0	2547493.638	1909937.593	4766583.958	2350184.209
"Armcx2"	2011045.284	3149467.336	5947799.069	6473307.9695	0	0	0	0	2222975.634	2102740.877	9851671.62	9036021.232
"Arsa"	6538872.415	2164931.65	19169323.605	333979.4301	0	0	0	0	10019499.59	0	29785418.31	10624475.99
"Atp1b1"	2730999.277	4220186.414	16719026.39	17677688.81	306297018.6	366447049.4	199259453.6	234178459.6	33400979.61	35976272.4	273962311.5	179597224.4
"Atp2b2"	5285995.243	5494434.629	14275563.7005	14917760.3615	7564914.914	10548519.78	4893136.583	8500142.191	0	0	0	0
"Atp9a"	691206.0579	0	1555043.377	377092.0997	0	0	0	0	4551046.053	2147272.511	993698.8036	1746900.873
"Avl9"	0	0	0	0	3336500.108	0	2011569.484	1833765.353	2298433.392	3199531.759	2195956.125	2553059.134
"B4galnt1"	0	0	0	0	14962698.81	23372805.57	36238400.63	29135762.5	7764702.625	11138377.91	29954086.08	21242462.38
"B4galt1"	0	4349704.956	0	0	1172530.033	6645748.465	8916725.55	5720693.719	10291544.67	14439735.33	11647901.5	7046209.585
